Aug	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	28	26	23	26	25	24	100	91	79	1007	1005	1003	3	2	1	35	19	61	24.89	Rain
2	28	26	24	26	25	24	94	86	82	1005	1002	1000	4	3	1	34	23	48	10.92	Rain
3	29	27	25	26	25	24	100	85	75	1003	1002	1000	3	3	1	34	19	47	11.94	Rain
4	31	28	24	26	26	24	94	84	65	1005	1003	1001	4	3	1	29	21	45	1.02	Rain
5	28	26	24	27	26	24	100	91	80	1004	1002	1001	3	2	1	32	18	50	134.11	Rain
6	28	27	24	26	25	24	94	87	79	1005	1004	1002	4	2	1	37	21	55	10.92	Rain
7	31	28	25	26	25	24	89	81	66	1006	1005	1003	6	3	2	26	19	42	2.03	Rain
8	31	28	25	26	25	24	89	82	68	1007	1006	1004	6	3	2	29	19	48	2.03	Rain
9	31	28	26	26	25	24	94	82	65	1007	1006	1004	6	3	2	29	19	48	2.03	Rain
10	31	28	24	26	25	24	94	82	68	1007	1006	1004	5	3	1	34	21	53	0.76	Rain
11	30	27	24	26	25	24	94	84	65	1009	1008	1006	6	3	2	26	16	45	2.03	Rain
12	31	28	25	26	25	24	94	83	69	1009	1008	1007	4	3	2	29	18	37	1.02	Rain
13	31	28	26	26	25	24	94	81	68	1009	1007	1006	5	4	2	29	18	45	0	Rain
14	30	28	26	26	25	24	89	81	65	1008	1007	1005	4	3	2	32	19	42	3.05	Rain
15	31	28	26	26	25	24	89	80	63	1008	1007	1006	4	3	2	27	19	39	2.03	Rain
16	31	28	26	26	24	24	84	78	60	1007	1006	1005	4	3	2	29	19	39	0	Rain
17	32	29	26	25	24	23	89	79	61	1006	1005	1003	4	3	2	26	18	42	7.11	Rain
18	31	28	24	26	25	24	89	80	57	1006	1005	1003	4	3	2	23	14	40	0	Rain
19	31	28	26	26	24	24	89	79	63	1007	1005	1004	4	3	2	24	16	37	0.51	Rain
20	31	28	25	26	25	24	84	79	68	1007	1005	1003	3	3	2	24	14	37	1.02	Rain
21	31	28	26	26	25	24	84	80	67	1007	1005	1004	4	3	2	23	16	39	0.51	Rain
22	30	28	26	26	25	20	89	83	62	1007	1006	1005	3	3	1	23	16	37	7.87	Rain
23	29	27	23	26	25	24	94	86	72	1007	1006	1004	4	3	1	26	14	-	7.87	Rain
24	31	28	24	26	25	24	94	84	65	1007	1005	1004	4	3	2	29	16	35	5.08	Rain
25	32	28	24	25	24	23	89	77	60	1008	1007	1006	5	3	2	24	14	32	0	Rain
26	28	26	24	25	24	24	100	89	73	1008	1007	1005	3	2	1	16	10	35	16	Rain
27	27	26	24	25	25	24	100	95	89	1009	1006	1004	2	2	1	14	6	34	20.07	Rain
28	28	26	23	27	25	24	100	92	79	1008	1006	1005	3	2	1	23	10	-	39.88	Rain
29	31	28	25	26	25	24	94	84	68	1008	1006	1004	4	3	2	26	11	39	1.02	Rain
30	29	27	25	26	25	24	89	85	70	1007	1005	1004	4	3	2	24	11	-	2.03	Rain
31	31	28	25	25	24	24	89	81	63	1008	1006	1004	8	4	2	24	11	-	0.25	Rain
