Jul	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	29	26	23	28	26	24	100	93	83	1004	1002	1000	2	2	1	24	11	42	72.9	Rain , Thunderstorm
2	28	26	24	27	26	25	100	93	85	1003	1002	1000	3	2	1	32	18	50	87.12	Rain , Thunderstorm
3	29	27	24	27	26	25	100	90	84	1004	1002	1000	3	2	1	29	19	48	21.08	Rain
4	30	27	24	29	26	24	95	90	84	1005	1004	1002	3	2	1	23	14	40	32	Rain
5	31	27	24	27	26	23	96	88	70	1006	1004	1002	3	2	1	34	11	55	8.89	Rain
6	31	27	24	27	26	24	100	85	68	1006	1004	1002	4	3	2	26	11	34	7.87	Rain
7	29	28	26	27	26	24	89	82	71	1006	1005	1004	4	3	2	23	16	34	1.02	Rain
8	29	28	27	27	26	24	94	84	73	1006	1004	1003	3	3	2	26	18	40	9.91	Rain
9	29	27	25	26	26	24	89	83	72	1004	1003	1001	3	3	2	26	19	45	0.76	Rain
10	29	28	27	26	26	24	94	83	72	1003	1002	1001	3	3	2	42	21	61	3.05	Rain
11	29	28	26	26	26	24	89	86	77	1004	1002	1001	3	3	2	35	23	47	5.08	Rain
12	29	27	25	27	26	24	89	85	76	1004	1003	1001	4	3	2	27	16	45	3.05	Rain
13	31	27	24	27	26	24	100	84	70	1005	1003	1002	4	3	1	27	18	45	7.87	Rain
14	30	28	25	26	26	24	94	89	67	1006	1004	1003	5	3	1	26	14	45	8.89	Rain
15	31	28	24	27	26	24	94	86	64	1006	1005	1004	5	3	2	24	11	45	2.03	Rain
16	31	28	26	27	25	22	89	82	66	1007	1005	1004	5	3	2	24	14	42	2.03	Rain
17	32	28	24	27	25	24	95	86	61	1009	1007	1006	5	3	1	24	11	45	13.97	Rain
18	30	27	24	26	25	24	94	87	71	1010	1008	1007	5	3	1	24	13	42	34.04	Rain
19	27	25	23	26	25	24	100	92	84	1009	1008	1007	4	2	1	26	13	45	64.01	Rain
20	30	27	24	26	25	24	94	84	73	1008	1007	1005	4	3	2	24	14	35	9.91	Rain
21	28	26	23	26	24	22	100	90	78	1007	1006	1004	3	2	1	23	6	32	12.95	Rain
22	29	27	23	26	25	24	94	87	71	1006	1005	1003	4	3	2	24	10	37	5.08	Rain
23	32	28	23	27	25	24	94	86	65	1006	1004	1002	4	3	1	27	10	-	6.1	Rain
24	31	28	24	26	25	24	94	85	68	1006	1004	1002	4	3	2	24	8	42	0.51	Rain
25	29	27	24	26	26	24	94	86	71	1007	1005	1003	5	3	2	19	8	34	0	Rain
26	28	27	25	26	24	24	100	89	84	1007	1005	1004	4	3	1	19	8	-	67.06	Rain
27	28	26	23	25	24	23	94	90	74	1008	1006	1005	3	3	2	21	8	-	3.05	Rain
28	30	27	23	26	24	23	100	89	68	1008	1007	1004	4	2	1	19	8	37	28.96	Rain , Thunderstorm
29	28	25	22	26	24	23	100	94	79	1008	1006	1004	3	2	1	16	6	32	59.94	Rain
30	29	26	23	26	25	24	100	89	77	1007	1005	1004	6	3	1	23	11	37	7.11	Rain , Thunderstorm
31	27	26	25	26	25	24	100	92	82	1008	1006	1005	3	2	1	24	14	34	105.92	Rain
