,temperature(C),humidity(%),consumption(kWh)
0,26,91,260.4449529389912
1,26,86,416.55064769345023
2,27,85,321.87638732328696
3,28,84,339.78434049479506
4,26,91,337.9505911458275
5,27,87,347.27925585937714
6,28,81,288.907032123764
7,28,82,287.222320089775
8,28,82,330.1429990234435
9,28,82,330.4758352864587
10,27,84,329.0888323567651
11,28,83,318.0806051432327
12,28,81,316.6117923177057
13,28,81,327.92808951823315
14,28,80,336.1513059895844
15,28,78,331.3556897786416
16,29,79,332.1223792317702
17,28,80,317.3987291666679
18,28,79,313.9552763671871
19,28,79,326.8744563802093
20,28,80,334.70091080729054
21,28,83,314.6954544270815
22,27,86,310.65342252604563
23,28,84,316.5471464843747
24,28,77,322.02788932291526
25,26,89,306.809192925346
26,26,95,313.27272395833387
27,26,92,239.14516416266477
28,28,84,436.70236187900315
29,27,85,232.99973220486226
