,tempavg,humidavg,con
0,24,43,235.0709693046865
1,26,50,184.2522992989928
2,24,60,125.94389364469521
3,23,67,187.9704948612179
4,24,71,166.2958870189227
5,22,56,159.22961764114774
6,22,48,190.35948168847142
7,23,56,220.27132849120855
8,24,46,192.67489551391486
9,24,45,214.13960577318676
10,23,60,210.0029336099085
11,23,54,185.0259585498011
12,24,47,133.12025588954353
13,27,40,0.0
14,28,37,0.0
15,28,38,0.0
16,29,37,0.0
17,29,29,0.0
18,28,36,0.0
19,27,47,624.6387945654569
20,25,73,0.9590498355930609
21,24,71,118.21211192375678
22,26,57,627.334057428044
23,27,41,0.0
24,28,34,0.0
25,28,36,0.0
26,27,43,0.0
27,28,34,167.05329792535846
