,humidavg,tempavg,con
0,53,23,223.25003374980128
1,55,24,167.75840999163867
2,41,24,199.91734089519406
3,47,23,0.0
4,53,23,0.0
5,62,21,0.0
6,67,22,83.92636796875985
7,64,23,382.5023531206852
8,53,22,144.6382135293533
9,48,21,226.91538925122987
10,53,20,128.46848461299524
11,50,20,221.6468267003469
12,52,22,246.33985090144714
13,57,24,226.07785232212308
14,67,26,225.14590544662263
15,62,23,137.15786551925981
16,56,23,0.0
17,51,22,0.0
18,52,24,0.0
19,48,24,172.12851219967212
20,45,24,193.6910226974379
21,40,26,212.50612303317314
22,40,27,155.08673798517168
23,40,27,0.0
24,41,27,0.0
25,44,26,0.0
26,47,23,0.0
27,36,26,0.0
28,36,26,0.0
29,39,26,224.56715680162688
30,43,24,198.5359043984873
