,temperature(C),humidity(%),consumption(kWh)
0,26,86,334.6350566406234
1,24,95,334.93068098958196
2,25,92,315.7882533854154
3,24,93,311.19226346726424
4,26,89,304.25882338169583
5,27,86,304.2318151041705
6,28,84,312.64219661457685
7,28,80,317.96991927083747
8,27,82,315.3366263020837
9,28,81,310.81274209448975
10,28,79,290.84241024925933
11,27,75,318.76083593750343
12,28,71,329.11212499999476
13,28,69,363.4870611979212
14,27,69,221.07486077008727
15,29,73,0.0
16,29,66,0.0
17,30,56,325.67808164291546
18,29,49,452.01020946207353
19,28,52,326.51340203737755
20,27,58,365.125013020829
21,28,68,374.50739192708346
22,28,71,377.651247395835
23,28,69,278.35334395031884
24,27,64,457.351239536201
25,26,59,306.1447146905629
26,28,51,327.73370052083277
27,27,45,332.309427083337
28,27,52,306.0616341145807
29,26,48,219.20872679924526
