,temperature(C),humidity(%),consumption(kWh)
0,79,28,311.14289908854374
1,83,28,305.5359282297327
2,83,27,315.3727289968279
3,75,28,333.4574065755224
4,72,28,313.1237320963546
5,72,28,304.6508554687466
6,75,28,305.12420052083525
7,76,28,187.90488932291473
8,80,28,0.0
9,80,27,0.0
10,79,28,297.4482213541681
11,78,28,439.20930885416817
12,80,27,262.12107460937625
13,77,28,337.1122669270799
14,90,26,311.3768566778309
15,89,26,372.22185937499347
16,91,26,316.52622925967654
17,93,25,338.7563548177083
18,87,26,317.91085416666544
19,94,26,292.08028038194584
20,94,24,375.22208062066
21,89,26,149.65948378905813
22,92,26,0.0
23,87,26,0.0
24,84,27,0.0
25,79,28,543.2402859374996
26,83,27,352.7073121279775
27,81,27,309.00465922618633
28,76,28,291.13063281250624
